area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1000,2.0,2.0,32.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1134,2.0,1.0,45.36
Super built-up  Area,18-Aug,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.7
Built-up  Area,Ready To Move,Rayasandra,5 BHK,,3600,5.0,3.0,145.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,3500,5.0,2.0,150.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Salesni,1400,2.0,3.0,56.0
Built-up  Area,Ready To Move,Outer Ring Road East,3 BHK,,1738,3.0,0.0,110.0
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,,1175,2.0,2.0,60.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,VHistal,1142,2.0,0.0,35.0
Super built-up  Area,Ready To Move,Near International Airport,2 BHK,PronsAs,1330,2.0,1.0,56.0
Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,1792,3.0,1.0,104.0
Plot  Area,Ready To Move,Vijayanagar,5 Bedroom,,750,4.0,3.0,95.0
Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2790,4.0,3.0,198.0
Plot  Area,Ready To Move,7th Phase JP Nagar,6 Bedroom,,650,6.0,2.0,80.0
Super built-up  Area,Ready To Move,Chikkabanavar,3 BHK,,1320,2.0,2.0,46.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Thirumenahalli,2 BHK,,1100,2.0,1.0,39.5
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,6 Bedroom,,1200,5.0,,130.0
Super built-up  Area,18-Aug,Haralur Road,2 BHK,SNnia E,1230,2.0,1.0,78.0
Super built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,,1309,2.0,1.0,80.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Adntsra,2556,3.0,2.0,169.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,54.0
Built-up  Area,19-Jun,Sarjapur,4 Bedroom,Caonand,2580 - 2591,4.0,0.0,139.5
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,SLavena,1207,2.0,2.0,62.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2 BHK,,1150,2.0,1.0,40.25
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3.0,,110.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,,1200,4.0,2.0,240.0
Super built-up  Area,Ready To Move,Kengeri,3 BHK,,1250,3.0,3.0,48.0
Super built-up  Area,Ready To Move,Chennammana Kere,4 BHK,,1800,4.0,1.0,145.0
Plot  Area,Ready To Move,Subhash Nagar,4 Bedroom,,1200,4.0,1.0,110.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4.0,2.0,100.0
Built-up  Area,Ready To Move,Harlur,2 BHK,,1370,2.0,2.0,88.0
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Neisei ,1500,2.0,1.0,70.0
Built-up  Area,18-Dec,Whitefield,3 BHK,,1558,3.0,2.0,90.0
Built-up  Area,Ready To Move,Amruthahalli,3 BHK,Pranai ,1605,3.0,2.0,65.0
Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1255,3.0,2.0,77.68
Super built-up  Area,18-Jul,Hosa Road,2 BHK,Mahesr ,1364,2.0,1.0,64.79
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174,2.0,1.0,78.0
Super built-up  Area,Ready To Move,pavitra paradise,3 BHK,,2200,2.0,1.0,190.0
Plot  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Krs A C,1600,3.0,1.0,120.0
Built-up  Area,Ready To Move,Chennappa Layout,2 BHK,Mawerer,1050,2.0,2.0,45.0
Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,,1200,4.0,2.0,175.0
Super built-up  Area,Ready To Move,Sneha Colony,2 BHK,Daill S,1260,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SLnssPr,1160,2.0,2.0,40.58
Built-up  Area,Ready To Move,KR Puram,2 BHK,Esnamth,1050,2.0,2.0,55.0
Plot  Area,Ready To Move,Nagarbhavi,4 Bedroom,,1250,3.0,0.0,175.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1790,3.0,2.0,105.0
Super built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,Shntsan,1300,2.0,2.0,65.0
Plot  Area,Ready To Move,Nandi Hills,4 Bedroom,,3200,4.0,2.0,200.0
Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1255,2.0,1.0,77.68
Super built-up  Area,Ready To Move,Belathur,2 BHK,SLwernf,1254,2.0,1.0,53.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1375,2.0,2.0,80.0
Built-up  Area,Ready To Move,Doopanahalli,2 BHK,,1050,2.0,1.0,70.0
Plot  Area,Ready To Move,Pai Layout,2 Bedroom,,780,2.0,1.0,72.0
Super built-up  Area,Ready To Move,Jakkasandra Extension,2 BHK,,1205,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1665,3.0,2.0,88.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,64.8
Super built-up  Area,18-May,Chellikere,2 BHK,,1088,2.0,2.0,46.0
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,AFe 3Ph,1575,4.0,3.0,100.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,,1130,2.0,3.0,45.19
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2.0,1.0,64.5
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2.0,1.0,65.0
Plot  Area,Ready To Move,Seegehalli,3 Bedroom,Stndeil,3000,4.0,2.0,235.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,,1800,4.0,3.0,178.0
Super built-up  Area,18-Dec,Yeshwanthpur,3 BHK,,1313,3.0,1.0,96.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1265,2.0,1.0,79.0
Super built-up  Area,18-Mar,9th Phase JP Nagar,2 BHK,HMigond,1466,2.0,2.0,71.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Shitt S,1450,2.0,2.0,63.51
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,,1050,2.0,2.0,37.0
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brglede,1480,2.0,2.0,84.0
Built-up  Area,Ready To Move,Canara Bank Colony,3 BHK,Kiagar ,1650,2.0,1.0,52.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Chaldi ,1200,2.0,2.0,70.0
Plot  Area,Ready To Move,9th Phase JP Nagar,2 Bedroom,,1200,2.0,0.0,80.0
Built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,4000,4.0,3.0,220.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,990,2.0,2.0,50.0
Built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,VeSkyva,1726,3.0,3.0,145.0
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,5 BHK,,2800,4.0,2.0,200.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2.0,2.0,98.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,16.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Zostaa ,1056,2.0,1.0,61.0
Super built-up  Area,20-Dec,Whitefield,2 BHK,,1165,2.0,1.0,40.5
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,,2600,8.0,2.0,180.0
Super built-up  Area,Ready To Move,Brookefield,3 BHK,Mapleer,1476,3.0,2.0,105.0
Plot  Area,19-Oct,Whitefield,4 Bedroom,NVaree ,60,4.0,2.0,218.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Supleon,2100,3.0,2.0,130.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,,1180,2.0,3.0,80.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,TGeepga,1090,2.0,2.0,45.0
Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,,1200,3.0,1.0,72.0
Super built-up  Area,18-Apr,Kadugodi,3 BHK,Alestrb,1890,4.0,3.0,125.0
Super built-up  Area,21-Jun,Tumkur Road,1 BHK,Coowsri,596 - 861,1.0,0.0,31.315
Super built-up  Area,Ready To Move,Govindraja Nagar,2 BHK,,1065,2.0,3.0,50.0
Plot  Area,Ready To Move,Koppa,3 Bedroom,,720,3.0,1.0,48.0
Super built-up  Area,Ready To Move,Canara Bank Colony,3 BHK,,1374,2.0,2.0,88.0
Built-up  Area,Ready To Move,Raghuvanahalli,1 BHK,,900,1.0,1.0,30.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,924,2.0,2.0,35.11
Super built-up  Area,18-Mar,Haralur Road,3 BHK,SNnia E,1520,2.0,2.0,96.0
Super built-up  Area,Ready To Move,Gubbalala,2 BHK,,1100,2.0,2.0,49.5
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,ReudePr,1432,2.0,2.0,68.0
Super built-up  Area,Ready To Move,Vikram Nagar,2 BHK,Ranorar,950,2.0,2.0,38.0
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,GRlpank,1180,2.0,1.0,71.22
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1222,2.0,2.0,80.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5.0,3.0,650.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,MSopsw ,1100,2.0,1.0,65.0
Built-up  Area,Ready To Move,Varsova Layout,4 Bedroom,,2700,4.0,3.0,295.0
Super built-up  Area,18-May,Doctors Layout,3 BHK,,1215,2.0,2.0,46.8
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,51.48
Plot  Area,Ready To Move,Byrathi Village,5 Bedroom,,1200,5.0,0.0,100.0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,1 BHK,ItRRVna,360,1.0,1.0,26.0
Super built-up  Area,Ready To Move,Sadashiva Nagar,3 BHK,,3850,3.0,3.0,650.0
Built-up  Area,Ready To Move,Kammanahalli,1 Bedroom,,700,1.0,0.0,59.0
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3596,5.0,1.0,297.0
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,2912,6.0,2.0,210.0
Built-up  Area,Ready To Move,Kaggadasapura,5 Bedroom,,2400,4.0,3.0,130.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1080,2.0,2.0,65.0
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,1200,2.0,0.0,66.0
Plot  Area,Ready To Move,Kasavanhalli,5 Bedroom,,5800,7.0,,1200.0
Plot  Area,Ready To Move,"Basnashankari,6th stage,",3 Bedroom,,600,3.0,1.0,54.0
Plot  Area,Ready To Move,Marsur,3 Bedroom,AreraRe,1200,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Wilson Garden,1 BHK,,735,1.0,1.0,75.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,1 Bedroom,,600,1.0,1.0,43.0
Built-up  Area,Ready To Move,Sunkadakatte,3 Bedroom,,1200,3.0,1.0,68.0
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Concyvi,1308,2.0,1.0,60.0
Built-up  Area,Ready To Move,Thanisandra,3 BHK,MSureRR,2072,3.0,2.0,122.0
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,32.79
Built-up  Area,Ready To Move,Hulimavu,3 BHK,Srise P,1450,3.0,3.0,72.0
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,VDdonel,1753,3.0,2.0,120.0
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,,2600,4.0,2.0,115.0
Built-up  Area,Ready To Move,Bannerghatta Road,4 Bedroom,,1380,3.0,0.0,58.0
Built-up  Area,Ready To Move,Ashwini layout,1 BHK,Kaantth,834,1.0,1.0,60.0
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,PrarePa,1100,3.0,2.0,53.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1342,2.0,1.0,73.3
Built-up  Area,Ready To Move,Sonnenahalli,2 BHK,DSgam S,896,2.0,1.0,43.75
Super built-up  Area,19-Dec,Venkatapura,2 BHK,ThBayah,1235,2.0,1.0,140.0
Super built-up  Area,18-Dec,Jalahalli,2 BHK,Vaniai ,1045,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Sector 1 HSR Layout,3 BHK,SodilDa,1533,3.0,2.0,150.0
Built-up  Area,Ready To Move,Palanahalli,4 Bedroom,RMaanSa,4346,5.0,,500.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1205,2.0,1.0,78.5
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1180,2.0,2.0,58.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Music C,1100,2.0,1.0,41.0
Super built-up  Area,Ready To Move,R.T. Nagar,3 BHK,GModsNR,1500,2.0,1.0,70.0
Built-up  Area,20-Dec,"ECC Road, Whitefield, ",2 BHK,,1132,2.0,1.0,67.0
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1022,2.0,1.0,45.9
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soinequ,1530,3.0,2.0,105.0
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,ManceEl,1650,3.0,,95.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1200,2.0,3.0,38.4
Built-up  Area,Ready To Move,Vignana Nagar,3 BHK,Mallad ,1450,3.0,3.0,42.0
Super built-up  Area,18-Jul,Anjanapura,2 BHK,,1070,2.0,2.0,39.0
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,1600,3.0,3.0,68.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Rarthne,1355,2.0,3.0,75.0
Super built-up  Area,Ready To Move,Ulsoor,2 BHK,Rilor C,1255,2.0,3.0,120.0
Super built-up  Area,Ready To Move,Thomas Town,2 BHK,TuiteIn,1250,2.0,,59.0
Plot  Area,Ready To Move,Manganahalli,6 Bedroom,,800,6.0,2.0,98.0
Super built-up  Area,18-Apr,Rajaji Nagar,2 BHK,ProdsWe,1357,2.0,1.0,115.0
Super built-up  Area,Ready To Move,Kacharakanahalli,3 BHK,JPoldGo,1400,3.0,3.0,69.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,SrncyRe,1370,2.0,2.0,54.79
Super built-up  Area,18-Feb,Panathur,2 BHK,,1000,2.0,1.0,65.3
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,,1460,2.0,2.0,58.39
Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,1925,2.0,3.0,114.0
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,,1090,2.0,1.0,27.24
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,850,1.0,1.0,32.0
Built-up  Area,Ready To Move,Palanahalli,4 Bedroom,RMaanSa,3978,4.0,3.0,428.0
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,,1037,2.0,1.0,36.28
Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,1900,4.0,2.0,185.0
Built-up  Area,Ready To Move,Bhoganhalli,2 BHK,Suwerlo,970,2.0,1.0,52.5
Plot  Area,Ready To Move,Banashankari Stage V,3 Bedroom,,1200,4.0,1.0,240.0
Plot  Area,Ready To Move,Devasandra Extension,6 Bedroom,,1200,6.0,3.0,180.0
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Deens G,1635,3.0,3.0,85.0
Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1482,2.0,2.0,83.73
Plot  Area,Ready To Move,Basaveshwara Nagar,5 Bedroom,,2520,4.0,1.0,378.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1255,2.0,2.0,73.0
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,1035,2.0,1.0,41.73
Super built-up  Area,Ready To Move,Balagere,2 BHK,Exncene,1380,2.0,1.0,60.0
Plot  Area,Ready To Move,Vaderahalli,4 Bedroom,,2300,4.0,,200.0
Super built-up  Area,18-May, Rachenahalli,1 RK,AsNowre,385 - 440,1.0,0.0,19.8
Super built-up  Area,Ready To Move,Frazer Town,4 BHK,Asuilnc,3436,5.0,,345.0
Super built-up  Area,Ready To Move,Govindapura,2 BHK,,1500,2.0,2.0,60.0
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Tiare S,1342,2.0,,70.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,,2200,3.0,2.0,180.0
Super built-up  Area,Ready To Move,Pampa Extension,2 BHK,Pancy R,993,2.0,3.0,45.5
Super built-up  Area,18-Jun,Bommasandra Industrial Area,2 BHK,,1030,2.0,1.0,41.0
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,78.0
Plot  Area,Ready To Move,Indra Nagar,8 Bedroom,,1000,7.0,0.0,160.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Grterrr,1560,3.0,1.0,90.0
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,650,1.0,2.0,33.0
Plot  Area,Ready To Move,Cambridge Layout,5 Bedroom,,1750,5.0,1.0,450.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2533,3.0,3.0,425.0
Super built-up  Area,19-Aug,Kengeri,1 BHK,VBn 2lm,540,1.0,1.0,22.5
Super built-up  Area,Ready To Move,Hennur,2 BHK,MDncyhi,1040,2.0,2.0,42.12
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,1.0,52.32
Plot  Area,18-May,1st Block Koramangala,4 Bedroom,,2360,4.0,2.0,601.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,40.0
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,1600,3.0,2.0,52.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1100,2.0,1.0,46.75
Plot  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,,1330,4.0,1.0,140.0
Super built-up  Area,Ready To Move,Shivaji Nagar,2 BHK,,703,2.0,1.0,49.5
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2.0,1.0,35.5
Super built-up  Area,Ready To Move,Anekal,2 BHK,Sraveks,1035,2.0,2.0,38.3
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1750,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,Mavelr ,1520,2.0,3.0,62.0
Super built-up  Area,Ready To Move,Kaval Byrasandra,3 BHK,SyOnen ,1900,2.0,2.0,65.0
Super built-up  Area,18-Apr,Ramamurthy Nagar,2 BHK,,1150,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Defence Colony,4 BHK,Masta A,6600,4.0,,986.0
Super built-up  Area,Ready To Move,Agrahara Dasarahalli,1 BHK,,1200,1.0,0.0,65.0
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1600,3.0,2.0,95.0
Plot  Area,Ready To Move,Chandapura,3 Bedroom,Upldsin,1200,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Kadabagere,2 BHK,Jahipa ,675,2.0,2.0,13.5
Super built-up  Area,Ready To Move,Kudlu Gate,2 BHK,,1200,2.0,1.0,44.4
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,1274,2.0,2.0,48.42
Built-up  Area,Ready To Move,Banashankari,2 BHK,Koestpt,1125,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Nallurhalli,3 BHK,DNtonri,1520,3.0,3.0,80.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2.0,2.0,74.4
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Tahtsla,1694,2.0,2.0,125.0
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Maourit,1505,3.0,2.0,64.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,YMhenLi,1400,2.0,1.0,70.0
Plot  Area,Ready To Move,Vishveshwarya Layout,7 Bedroom,,1200,8.0,,180.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Goty  E,1449,3.0,2.0,90.0
Super built-up  Area,19-Jun,Whitefield,3 BHK,VaiteEx,1870,3.0,2.0,138.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,,960,2.0,1.0,48.0
Super built-up  Area,18-May,Electronics City Phase 1,2 BHK,Shitt S,1205,2.0,2.0,60.0
Plot  Area,Ready To Move,Lakshmipura,2 Bedroom,,1225,2.0,0.0,65.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Vandak ,1276,2.0,2.0,76.0
Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,,1056,1.0,0.0,250.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Kinumsh,850,2.0,2.0,37.93
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,,1152,2.0,2.0,61.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,,1584,3.0,,65.0
Super built-up  Area,19-Mar,Marathahalli,2 BHK,PrensKe,1152,2.0,1.0,90.0
Plot  Area,Ready To Move,Doddakannelli,6 Bedroom,,1200,9.0,3.0,122.0
Super built-up  Area,Ready To Move,KR Garden,2 BHK,,1050,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,Mavelr ,1125,2.0,1.0,55.0
Super built-up  Area,18-Aug,Garebhavipalya,3 BHK,,1275,3.0,2.0,55.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1801,3.0,1.0,115.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3.0,2.0,115.0
Super built-up  Area,18-Jun,Chandapura,3 BHK,SuVue S,1100 - 1225,,,30.215
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,Prlla C,1650,3.0,1.0,84.0
Built-up  Area,Ready To Move,Ulsoor,4 Bedroom,,2500,4.0,0.0,170.0
Super built-up  Area,19-Dec,Electronics City Phase 1,3 BHK,Shitt S,1450,3.0,2.0,72.54
Built-up  Area,Ready To Move,R.T. Nagar,2 Bedroom,Sants A,800,1.0,0.0,170.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,39.9
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Saitya ,1800,3.0,2.0,128.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,,911,2.0,1.0,26.5
Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,Rosha I,1447,2.0,1.0,75.97
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Brods W,1031,2.0,1.0,56.35
Built-up  Area,18-Dec,Electronic City,2 BHK,,1090,2.0,1.0,31.49
Plot  Area,16-Dec,Sarjapura - Attibele Road,3 Bedroom,,1800,3.0,2.0,90.0
Built-up  Area,Ready To Move,Ananth Nagar,2 BHK,,850,2.0,1.0,25.99
Built-up  Area,Ready To Move,Babusapalaya,2 BHK,AReenui,1305,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Sathya Layout,2 BHK,,1084,2.0,1.0,51.0
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,PrarePa,900,2.0,1.0,41.0
Super built-up  Area,Ready To Move,Bommasandra Industrial Area,3 BHK,Stkarrd,1250,3.0,3.0,50.0
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1165,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4.0,2.0,290.0
Built-up  Area,Ready To Move,Whitefield,3 BHK,,1350,3.0,2.0,54.0
Super built-up  Area,Ready To Move,Kudlu,2 BHK,Srrnasa,1092,2.0,2.0,44.0
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869,2.0,1.0,36.0
Carpet  Area,Ready To Move,Shivaji Nagar,2 BHK,,600,1.0,1.0,65.0
Super built-up  Area,18-Sep,Chandapura,2 BHK,SunceEs,1015,2.0,2.0,25.88
Super built-up  Area,Ready To Move,Maithri Layout,3 BHK,Lalipa ,1540,3.0,3.0,76.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1100,2.0,1.0,41.16
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Goty  E,1631,3.0,2.0,80.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,KKdenng,1330,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,,1532,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308,2.0,2.0,92.66
Super built-up  Area,22-May,Jakkur,2 BHK,SoineC ,1452.19,2.0,1.0,100.0
Super built-up  Area,18-Dec,Whitefield,2 BHK,BSlasin,1330,2.0,1.0,71.0
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,85.05
Built-up  Area,Ready To Move,Cleveland Town,3 BHK,Coner C,1991,3.0,2.0,160.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1050,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,1.0,51.91
Super built-up  Area,21-Dec,Whitefield,2 BHK,Preaunt,1356,2.0,1.0,94.84
Super built-up  Area,18-Jul,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,67.0
Plot  Area,Ready To Move,Yelahanka,2 Bedroom,,1200,2.0,1.0,70.0
Plot  Area,Ready To Move,N R Layout,6 Bedroom,,800,3.0,2.0,120.0
Plot  Area,Ready To Move,Attur Layout,3 Bedroom,,2400,4.0,2.0,200.0
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,,1284,2.0,2.0,75.0
Super built-up  Area,19-Oct,Soppahalli,1 BHK,,620,1.0,1.0,25.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1215,2.0,2.0,58.86
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,,1512,1.0,2.0,65.01
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1385,2.0,2.0,76.18
Super built-up  Area,18-Aug,Gunjur,2 BHK,BMineis,1235,2.0,2.0,52.76
Built-up  Area,Ready To Move,Whitefield,3 BHK,CMionsy,1634,3.0,2.0,68.0
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,Bancyri,1800,3.0,2.0,252.0
Super built-up  Area,Ready To Move,Chandapura,2 BHK,Siissi ,922,2.0,1.0,36.0
Super built-up  Area,21-Mar,Hennur Road,2 BHK,,901,2.0,1.0,49.5
Super built-up  Area,Ready To Move,Doddabommasandra,9 BHK,,2400,8.0,,325.0
